person,cand_row,book,juan,sentence,source_file,alias_in_sentence
班伯,404,漢書,第七十八章:叙传上,”是时，许商为少府，师丹为光禄大夫，上于是引商、丹入为光禄勋，伯迁水衡都尉，与两师并侍中，皆秩中二千石。,,
班伯,1735,漢書,100上,」是時許商為少府，師丹為光祿勳，上於是引商、丹入為光祿大夫，伯遷水衡都尉，與兩師並侍中，皆秩中二千石。,,叙传
王凤,414,漢書,第七十四章:元后传,长子凤嗣侯，为卫尉侍中，皇后自有子后，希复进见。,,
王凤,1696,漢書,098,長子鳳嗣侯，為衛尉侍中，皇-{后}-自有子後，希復進見。,,
王参,416,漢書,第七十四章:元后传,”以参为侍中水衡都尉。,,
王参,1698,漢書,098,」以參為侍中水衡都尉。,,元后传
王况,424,漢書,第七十四章:元后传,及根兄子成都侯况幸得以外亲继父为列侯侍中，不思报厚恩，亦聘取故掖庭贵人以为妻，皆无人臣礼，大不敬不道。,,
王况,1706,漢書,098,及根兄子成都侯況幸得以外親繼父為列侯侍中，不思報厚恩，亦聘取故掖庭貴人以為妻，皆無人臣禮，大不敬不道。,,列侯侍中
霍去病,445,漢書,第二十五章:卫青霍去病传,去病以皇后姊子，年十八为侍中。,,
霍去病,1588,漢書,055,去病以皇后姊子，年十八為侍中。,,皇后姊子
傅嘉,455,漢書,第五十三章:匡张孔马传,上乃知光前免非其罪，以过近臣毁短光者，复免傅嘉，曰：“前为侍中，毁谮仁贤，诬诉大臣，令俊艾者久失其位。,,见前
傅嘉,1651,漢書,081,上乃知光前免非其罪，以過近臣毀短光者，復免傅嘉，曰：「前為侍中，毀譖仁賢，誣訴大臣，令俊艾者久失其位。,,见前
史高,466,漢書,第五十四章:王商史丹傅喜传,高侍中，贵幸，以发举反者大司马霍禹功封乐陵侯。,,
史高,1655,漢書,082,高侍中，貴幸，以發舉反者大司馬霍禹功封樂陵侯。,,发霍禹功封乐陵侯
霍禹,1080,史記,022,|二月丁卯，侍中、中郎將霍禹為右將軍。,,右将军前为侍中中郎将
王商,1081,史記,022,|右將軍平恩侯許嘉為車騎將軍，侍中、光祿大夫樂昌侯王商為右將軍，右將軍馮奉世為左將軍。,,
张放,440,漢書,第三十章:张汤传,后复征放为侍中光禄大夫，秩中二千石。,,
韩增,442,漢書,第三章:魏豹田儋韩王信传,增少为郎，诸曹、侍中、光禄大夫，昭帝时至前将军，与大将军霍光定策立宣帝，益封千户。,,
李陵,449,漢書,第二十四章:李广苏建传,陵字少卿，少为侍中建章监。,,
欧阳地余,1669,漢書,088,元帝即位，地餘侍中，貴幸，至少府。,,儒林，至少府
