person,sentence,reason,book
张飞,弱冠为侍中、中监军，数岁卒。,not_confirmed,三國志
黄权,且败军之将，免死为幸，何古人之可慕也”文帝善之，拜为镇南将军，封育阳侯，加侍中，使之陪乘。,not_confirmed,三國志
李恢,且败军之将，免死为幸，何古人之可慕也”文帝善之，拜为镇南将军，封育阳侯，加侍中，使之陪乘。,not_confirmed,三國志
张翼,迁为侍中，徙尚书。,not_confirmed,三國志
徐幹,魏国既建，拜侍中。,not_confirmed,三國志
卫觊,魏国既建，拜侍中，与王粲并典制度。,not_confirmed,三國志
刘劭,文帝即王位，为侍中，赐爵关内侯。,not_confirmed,三國志
刘劭,文帝即王位，爲侍中，賜爵關內侯。,not_confirmed,三國志
杜袭,魏国既建，为侍中，与王粲、和洽并用。,not_confirmed,三國志
周宣,璩六十一为侍中，直省内，欻见白狗，问之众人，悉无见者。,not_confirmed,三國志
周宣,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,not_confirmed,三國志
桓阶,文帝践阼，迁尚书令，封高乡亭侯，加侍中。,not_confirmed,三國志
陈矫,后徵泰为尚书右仆射，典选举，加侍中光禄大夫。,not_confirmed,三國志
陈矫,加侍中光禄大夫，迁司徒。,not_confirmed,三國志
卫臻,“帝遂以宣为左仆射，后加侍中光禄大夫。,not_confirmed,三國志
卫臻,明帝即位，进封康乡侯，后转为右仆射，典选举，如前加侍中。,not_confirmed,三國志
卫臻,明帝即位，进封康鄉侯，後转爲右仆射，典選舉，如前加侍中。,not_confirmed,三國志
元常,拜御史中丞，迁侍中尚书仆射，并录前功封东武亭侯。,drop/rename,三國志
元常,乃表繇以侍中守司隶校尉，持节督关中诸军，委之以后事，特使不拘科制。,drop/rename,三國志
华歆,后以失爽意，徙侍中，出为魏郡太守。,not_confirmed,三國志
华歆,歆至，拜议郎，参司空军事，入为尚书，转侍中，代荀彧为尚书令。,not_confirmed,三國志
华歆,後以失爽意，徙侍中，出爲魏郡太守。,not_confirmed,三國志
杜畿,徵拜侍中，与董昭同寮。,not_confirmed,三國志
刘放,是岁，俱加侍中、光禄大夫。,not_confirmed,三國志
王讳芳,正始元年春二月乙丑，加侍中中书监刘放、侍中中书令孙资为左右光禄大夫。,not_confirmed,三國志
金禕,紀字季行，少有美名，爲丞相掾，王甚敬異之，遷侍中，守少府。,not_confirmed,三國志
郭皇后,溫本國侯，進為輔國大將軍，加侍中，領射聲校尉，德鎮軍大將軍。,drop/rename,三國志
郭皇后,德暮年官更轉為宗正，遷侍中。,drop/rename,三國志
郭皇后,世祖以此望德，由此出德為大鴻臚，加侍中、光祿大夫，尋疾薨，贈中軍大將軍，開府侍中如故，諡恭公，子喜嗣。,drop/rename,三國志
郭皇后,喜精粹有器美，歷中書郎、右衛將軍、侍中，位至輔國大將軍，加散騎常侍。,drop/rename,三國志
伍孚,後大將軍何進辟爲東曹屬，稍遷侍中、河南尹、越騎校尉。,not_confirmed,三國志
曹仁,父炽，侍中、長水校尉。,not_confirmed,三國志
邓颺,正始初，乃出爲潁川太守，轉大將軍長史，遷侍中尚書。,not_confirmed,三國志
丁謐,正始初，乃出爲潁川太守，轉大將軍長史，遷侍中尚書。,not_confirmed,三國志
孙惲,建安初爲祕書監侍中，被詔刪《漢書》作《漢紀》三十篇，因事以明臧否，致有典要；,not_confirmed,三國志
孙乔,{{*|《魏書》曰：信父丹，官至少府侍中，世以儒雅顯。,not_confirmed,三國志
刘许,」）曹爽誅後，復以資為侍中，領中書令。,not_confirmed,三國志
刘许,）資复遜位歸第，就拜驃騎將軍，轉侍中，特進如故。,not_confirmed,三國志
杜氏然,太和中，誕爲武都太守，以能書留補侍中，魏氏寶器銘題皆誕書云。,not_confirmed,三國志
桓階,文帝践阼，遷尚書令，封高鄉亭侯，加侍中。,not_confirmed,三國志
陈羣,文帝践阼，遷尚書令，封高鄉亭侯，加侍中。,not_confirmed,三國志
陈羣,纪历位平原相、侍中、大鸿胪，著书数十篇，世谓之陈子。,not_confirmed,三國志
孙陵,纪历位平原相、侍中、大鸿胪，著书数十篇，世谓之陈子。,not_confirmed,三國志
刘焉,」於是靈帝徵扶，即拜侍中。,not_confirmed,三國志
董扶,」於是靈帝徵扶，即拜侍中。,not_confirmed,三國志
董厥,」後為侍中，守中書令。,not_confirmed,三國志
张飛,弱冠為侍中、中監軍，數歲卒。,not_confirmed,三國志
董恢,七年，以侍中守尚書令，為大將軍費禕副貳。,not_confirmed,三國志
董恢,陳祗代允為侍中，與黃皓互相表裡，皓始預政事。,not_confirmed,三國志
董恢,呂乂卒，祗又以侍中守尚書令，加鎮軍將軍，大將軍姜維雖班在祗上，常率眾在外，希親朝政。,not_confirmed,三國志
黄權,」文帝善之，拜為鎮南將軍，封育陽候，加侍中，使之陪乘。,not_confirmed,三國志
来之君,育后仕朝，常在台阁，为东观令，遥拜清河太守，加位侍中，推刺占射，文艺多通。,not_confirmed,三國志
孙登,後爲侍中，出補武昌左部督，治軍整頓。,not_confirmed,三國志
是儀,後從太子還建業，復拜侍中、中執法，平諸官事、領辭訟如舊。,not_confirmed,三國志
滕胤,孫權末，徙武衛都尉，為侍中。,not_confirmed,三國志
濮陽興,皓既踐阼，加興侍中，領青州牧。,not_confirmed,三國志
