category,name,in_db,book,juan,sentence,phase,kind,action_hint,path
拟补人物,周廣,N,后汉书,卷10下,」）侍中周廣、阿母野王君王聖、聖女永、永壻黃門侍郎樊嚴等，更相阿黨，互作威福，探刺禁省，更爲唱和，皆大不道。,xihan_addition,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子张辟彊,N,史记,卷009,留侯子張辟彊為侍中，年十五，謂丞相曰：「太后獨有孝惠，今崩，哭不悲，君知其解乎？,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,建章监,N,全汉文,卷二十八,爲侍中建章監，拜騎都尉。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,步兵,N,后汉书,卷37,【永初元年】，入授安帝，三遷爲侍中步兵校尉。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,淳于恭奏,N,后汉书,卷3,」）侍中淳于恭奏，帝親稱制臨決，如孝宣甘露石渠故事，作白虎議奏。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,王輔,N,全后汉文,卷七,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,祭酒乐松,N,后汉书,卷60下,」侍中祭酒樂松、賈護，多引無行趣埶之徒，並待制鴻都門下，憙陳方俗閭里小事，帝甚悅之，待以不次之位。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,竇憲,N,后汉书,卷33,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,donghan_mid,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,行服,N,后汉书,卷37,』」）肅宗即位，郁以母憂乞身，詔聽以侍中行服。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,陈祗代允,N,三国志,卷39,）陳祗陳祗代允為侍中，與黃皓互相表裡，皓始預政事。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,不通,N,三国志,卷06,諸將或遣婢詣省閤，或自齎酒啖，過天子飲，侍中不通，喧呼罵詈，遂不能止。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,举为,N,后汉书,卷61,」時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,乃引瑜,N,后汉书,卷57,及帝崩，大將軍竇武欲大誅宦官，乃引瑜為侍中，又以侍中尹勳為尚書令，共同謀畫。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,乃拜举,N,后汉书,卷61,」時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,亲省起居,N,三国志,卷16,（注：《魏略》曰：旧仪，侍中亲省起居，故俗谓之执虎子。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,何晏代毓,N,三国志,卷22,時曹爽秉权，將树其黨，徙毓仆射，以侍中何晏代毓。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,便蕃左右,N,全后汉文,卷三十四,}}侍中便蕃左右，與帝升降，卒思（注：案：《北堂書鈔》引作「切問」。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,允迁,N,三国志,卷39,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,hanwei,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,元以来,N,汉书,卷059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,donghan_late,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,元帝时,N,后汉书,卷31,曾祖霸，元帝時為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,军袁隗表,N,后汉书,卷35,後將軍袁隗表為侍中，以父喪不行。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,刘晔对,N,三国志,卷12,』侍中劉晔對曰：『獵勝於樂。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,劭为,N,后汉书,卷56,及進敗，獻帝即位，拜劭為侍中。,donghan_late,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,卯延光中,N,后汉书,卷26,卯延光中為侍中，薨，子留嗣。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,去病,N,汉书,卷055,去病以皇后姊子，年十八為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,受害節,N,全后汉文,卷六十一,今曹節等放縱爲害，而久在左右，又公兄侍中受害節等，永樂太-{后}-所親知也。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,吏部,N,三国志,卷22,」遷尚書，转侍中吏部尚書。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,君卿,N,汉书,卷068,爲書曰「皇帝問侍中君卿：使中御府令高昌奉黃金千斤，賜君卿取十妻。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,和帝时,N,后汉书,卷16,昌安侯襲嗣子藩，亦尚顯宗女平臯長公主，和帝時為侍中。,donghan_mid,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,坐帷内,N,后汉书,卷11,羣臣欲言事，輒醉不能見，時不得已，乃令侍中坐帷內與語。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,太仆,N,全汉文,卷六十,綏和初爲侍中太僕，位特進，㠯病免。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,奏陛下,N,全汉文,卷四十五,語不可露，願具書所言，因侍中奏陛下，㠯示腹心大臣。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,女婿甄邯,N,汉书,卷099上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子淳于长,N,汉书,卷097下,太后姊子淳于長為侍中，數往來傳語，得太后指，上立封趙婕妤父臨為成陽侯。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,安帝征康,N,后汉书,卷16,及從兄騭誅，安帝征康為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,宾客益衰,N,史记,第四十七章-魏其武安侯列传,”灌夫家居虽富，然失势，卿相侍中宾客益衰。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,屯骑,N,后汉书,卷26,卒，子無忌嗣，亦傳家學，博物多識，順帝時，為侍中屯騎校尉。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,左蟬右貂,N,全后汉文,卷三十四,）侍中左蟬右貂，本秦丞相史往來殿中，故謂之侍中。,origin,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,平王凤,N,汉书,卷019,」）||||陽平侯王鳳為侍中衞尉，三年遷。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,年十八,N,汉书,卷055,去病以皇后姊子，年十八為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,廷尉,N,三国志,卷13,爽旣誅，入爲御史中丞、侍中廷尉。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,弱冠,N,三国志,卷36,弱冠為侍中、中監軍，數歲卒。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,征立,N,三国志,卷40,二十四年，先主為漢中王，徵立為侍中。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,征还,N,后汉书,卷54,征還為侍中﹑五官中郎將，遷穎川﹑南陽太守，復拜侍中，三遷永樂少府﹑太僕﹑衛尉。,donghan_bureau,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,徙昭,N,三国志,卷14,二年，分邑百戶，賜昭弟訪爵關內侯，徙昭為侍中。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,復以資,N,三国志,卷14,」）曹爽誅後，復以資為侍中，領中書令。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,復入,N,后汉书,卷116,王莽秉政，侍中復入，與中官共止。,wangmang,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,拜劭,N,后汉书,卷56,及進敗，獻帝即位，拜劭為侍中。,donghan_late,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,时弟丕亦,N,后汉书,卷25,時弟丕亦為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,桓帝时,N,后汉书,卷16,榮少知名，桓帝時為侍中。,donghan_late,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,止传舍者,N,后汉书,卷29,時，有矯稱侍中止傳舍者，興欲謁之。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,比求实,N,三国志,卷23,和侍中比求實之，所以不聽，欲重參之耳。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,永元中,N,后汉书,卷15,來歷歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,汝南伍瓊,N,后汉书,卷72,乃任吏部尚書漢陽周珌、侍中汝南伍瓊、（注：《英雄記》「珌」作「毖」，字仲遠，武威人。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,沛国施延,N,后汉书,卷46,」書御，有詔拜有道高第士沛國施延為侍中，延後位至太尉。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,涉爲,N,汉书,卷068,」）敞子涉本爲左曹，上拜涉爲侍中，使待幸綠車載送衞尉舍。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,灵帝时,N,后汉书,卷54,牧孫奇牧孫奇，靈帝時為侍中，帝嘗從容問奇曰：「朕何如桓帝？,donghan_late,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,父任,N,汉书,卷071,少時，耆酒多過失，年且三十，乃折節修行，以父任為侍中中郎將、長水校尉。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,王望传,N,汉书,卷099下,中黃門各拔刃將忠等送廬，忠拔劍欲自刎，侍中王望傳言大司馬反，黃門持劍共格殺之。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,璩六十一,N,三国志,卷29,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,相知,N,全汉文,卷十三,）與侍中從弟安國書臧報侍中相知，忿俗儒淫辭冒義，有意欲校亂反正，由來久矣。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,私出,N,汉书,卷077,-{豐}-案劾章，欲奏其事，適逢許侍中私出，-{豐}-駐車舉節詔章曰：「下！,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,舍人,N,全后汉文,卷三十四,）漢因秦置侍中舍人。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,董允书,N,三国志,卷39,諸葛亮與長史蔣琬、侍中董允書曰：「孝起前臨至吳，為吾說正方腹中有鱗甲，鄉黨以為不可近。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,賓客益衰,N,史记,卷107,」灌夫家居雖富，然失勢，卿相侍中賓客益衰。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,贾逵因,N,后汉书,卷39,積十餘歲，至永元十年，有司復奏之，侍中賈逵因上書曰：「孔子稱『能以禮讓為國，於從政乎何有』。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,车骑,N,三国志,卷04,其以壹為侍中車騎將軍、假節、交州牧、吳侯，開府辟召儀同三司，依古侯伯八命之禮，衮冕赤舄，事從豐厚。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,迎荐,N,后汉书,卷62,進恐其不至，迎薦為侍中，及進敗而詔命中絕。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,近侍,N,全后汉文,卷八,）報楊定請侍中尹忠爲長史詔（注：八月）侍中近侍，就非其宜，必爲關東所笑。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,近臣,N,三国志,卷03,」每朝宴會同，與侍中近臣並列帷幄。,hanwei,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,迺存,N,全后汉文,卷三十四,}}桓帝時，侍中迺存，（注：《蓺文類聚》作「刁存」，《野客叢書》二十五作「刁協」。,donghan_late,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,都王邑,N,汉书,卷086,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中。,chengai_mingjing,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,长君弟青,N,史记,卷049,召其兄衛長君弟青為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,阳平王凤,N,汉书,卷019,」）||||陽平侯王鳳為侍中衞尉，三年遷。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,音獨側聽,N,全汉文,卷四十三,時太后從子侍中音獨側聽，具知章言㠯語鳳。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,一月,N,汉书,卷019,|大司徒司直金欽為京兆尹，一月為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,丁沖,N,后汉书,卷72,封衞將軍董承、輔國將軍伏完、侍中丁沖、种輯、尚書僕射鍾繇、尚書郭溥、御史中丞董芬、彭城相劉艾、馮翊韓斌、東郡太守楊衆、議郎羅邵、伏德、趙蕤為列侯，賞有功也。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,丁鴻,N,全后汉文,卷三十一,侍中丁鴻，仁而有讓，達于從政；,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,上拜涉,N,汉书,第四十章-霍光金日磾传,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,与李陵俱,N,汉书,第二十四章-李广苏建传,初，武与李陵俱为侍中，武使匈奴明年，陵降，不敢求武。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,东通灵将,N,汉书,第七十六章-王莽传中,寻随方士入华山，岁余捕得，辞连国师公歆子侍中东通灵将、五司大夫隆威侯棻，棻弟右曹长水校尉伐虏侯泳，大司空邑弟左关将军掌威侯奇，及歆门人侍中骑都尉丁隆等，牵引公卿党亲列侯以下，死者数百人。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,並皆年少,N,后汉书,卷63,一日朝會，見諸侍中並皆年少，無一宿儒大人可顧問者，誠可歎息。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,中书监,N,三国志,卷21,建安中，爲郡上計吏，特拜郎中，稍遷侍中中書監，以光祿大夫遜位，年七十五卒於家。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,九男皆,N,汉书,第五十四章-王商史丹傅喜传,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,二年,N,汉书,卷019,詹事許商為少府，二年為侍中光祿大夫。,donghan_bureau,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,伍瓊,N,后汉书,卷70,公業等與侍中伍瓊、卓長史何顒共說卓，以袁紹爲勃海太守，以發山東之謀。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,侍郎,N,后汉书,卷116,改給事黃門侍郎為侍中侍郎，去給事黃門之號，旋復復故。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,傅俊迎后,N,后汉书,第十一章-皇后纪上,光武即位，令侍中傅俊迎后，与胡阳、宁平主诸宫人俱到洛阳，以后为贵人。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,傅巽掐则,N,三国志,卷16,侍中傅巽掐则曰：“不谓卿也。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,傅巽目,N,三国志,卷16,侍中傅巽目之，乃悟。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,儵按,N,后汉书,卷56,一八三四頁五行合兄侍中儵按：殿本「儵」作「鯈」。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,光禄勋,N,汉书,卷019,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,兼領,N,后汉书,卷79上,”帝即敕尚書解遵禁锢，拜憑虎贲中郎将，以侍中兼領之。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,兼领,N,后汉书,第七十四章-儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,冒名,N,后汉书,第二十六章-梁统列传,冒名而为侍中、卿、校尉、郡守、长吏者十余人，皆贪叨凶淫，各遣私客籍属县富人，被以它罪，闭狱掠拷，使出钱自赎，资物少者至于死徙。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,出禁外,N,后汉书,卷116,又侍中舊與中官俱止禁中，武帝時，侍中莽何羅挾刃謀逆，由是侍中出禁外，有事乃入，畢即出。,wudi_expansion,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,单甫受学,N,三国志,第十八章-吴范刘惇赵达传,少从汉侍中单甫受学，用思精密，谓东南有王者气，可以避难，故脱身渡江。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,卫尉王能,N,汉书,卷019,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,受害节,N,后汉书,第四十九章-张王种陈列传,今曹节等放纵为害，而久在左右，又公兄侍中受害节等，永乐太后所亲知也。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,司中,N,全后汉文,卷五十六,侍中司中，敢告執矩。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,后复征放,N,汉书,第三十章-张汤传,后复征放为侍中光禄大夫，秩中二千石。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,后復征放,N,汉书,卷059,後復徵放為侍中光祿大夫，秩中二千石。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,周珌,N,后汉书,卷74上,時侍中周珌、城門校尉伍瓊為卓所信待，瓊等陰為紹說卓曰：「夫廢立大事，非常人所及。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,單甫受學,N,三国志,卷63,少從漢侍中單甫受學，用思精密。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,四迁,N,后汉书,第二十八章-郑范陈贾张列传,后征，四迁为侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,复以资,N,三国志,第十四章-程郭董刘蒋刘传,曹爽诛后，复以资为侍中，领中书令。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,复入,N,后汉书,第四十七章-杨震列传,帝崩后，复入为侍中卫尉，从献帝西迁，有功勤。,donghan_late,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,复留,N,后汉书,第五十四章-蔡邕列传下,迁巴郡太守，复留为侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,夺喪服,N,三国志,卷09,帝使侍中夺喪服，使饮酒食肉，休受詔而形体益憔悴。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,奉持鴻洞,N,后汉书,卷96,司徒跪曰「請進贈」，侍中奉持鴻洞。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,如故,N,三国志,卷05,世祖以此望德，由此出德為大鴻臚，加侍中、光祿大夫，尋疾薨，贈中軍大將軍，開府侍中如故，諡恭公，子喜嗣。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子举,N,后汉书,第十一章-皇后纪上,永元初，璜为长乐少府，子举为侍中，兼射声校尉。,donghan_bureau,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子伋,N,汉书,第四十二章-傅常郑甘陈段传,后皇太后同母弟苟参为水衡都尉，死，子伋为侍中，参妻欲为伋求封，汤受其金五十斤，许为求比上奏。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子张辟强,N,汉书,第七十二章-外戚传上,留侯子张辟强为侍中，年十五，谓丞相陈平曰：“太后独有帝，今哭而不悲，君知其解未？,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,子爲,N,汉书,卷068,臨敞病困，拜子爲侍中，以此車送，欲敞見其榮寵也。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,宣意,N,三国志,卷11,上使侍中宣意曰：『君守平原日淺，故復試君三輔，非有所閒也。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,左中郎将,N,全后汉文,卷三十三,永初中，復徵，再遷侍中左中郎將，卒年七十五。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,已往,N,全后汉文,卷七十八,自侍-{御}-史、侍中已往，道爲帝師，德爲世表，體尊名重，階級彌崇。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,帝崩后,N,后汉书,第四十七章-杨震列传,帝崩后，复入为侍中卫尉，从献帝西迁，有功勤。,donghan_late,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,平子雖,N,三国志,卷29,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,平間,N,后汉书,卷35,純少襲爵士，哀、平間為侍中，王莽時至列卿。,wangmang,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,平间,N,后汉书,第二十七章-张曹郑列传,纯少袭爵士，哀、平间为侍中，王莽时至列卿。,wangmang,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,并皆年少,N,后汉书,第五十七章-李杜列传,一日朝会，见诸侍中并皆年少，无一宿儒大人可顾问者，诚可叹息。,xihan_addition,制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
