person,n_evidence,books,sample1,sample2,decision,merge_into,note
杨文父,2,隸續,侍中楊文父神道?,右侍中楊文父神道字體格與馮幽州闕相似必西?,留,杨文父即杨厚，注意匹配,
杨琦高,2,三國志|後漢書,」使侍中楊琦高舉車帷。,』使侍中楊琦高舉車帷。,改   杨琦,,
王奇,2,漢書,复以邑弟侍中王奇为扬武将军，城门将军赵恢为强弩将军，中郎将李棽为厌难将军，复将兵西。,復以邑弟侍中王奇為揚武將軍，城門將軍趙恢為彊弩將軍，中郎將李棽為厭難將軍，復將兵西。,留,,
王莽时,2,後漢書,纯少袭爵士，哀、平间为侍中，王莽时至列卿。,弘少而温顺，哀、平间作侍中，王莽时为共工。,改  宋弘,王莽时是指的是王莽在位时候，弘是这一句的主语，即宋弘,
王莽時,2,後漢書,弘少而溫順，哀、平間作侍中，王莽時為共工。,純少襲爵士，哀、平間為侍中，王莽時至列卿。,改 宋弘,同上,
王輔,2,全後漢文|後漢書,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,」）今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,留,,
窦宪使,2,後漢書,和帝即位，侍中窦宪使人刺杀齐殇王子都乡侯暢于上东门，有司畏宪，咸委疑于暢兄弟。,和帝即位，侍中竇憲使人刺殺齊殤王子都鄉侯暢於上東門，有司畏憲，鹹委疑於暢兄弟。,改  窦宪,,
窦宪爲,2,後漢書|後漢紀,冬十月乙亥，以侍中竇憲爲車騎將軍，伐北匈奴。,贖死夏五月京都旱冬十月侍中竇憲爲車騎將軍?,改  窦宪,,
荀顗,2,三國志,（注：《魏氏春秋》曰：二月丙辰，帝宴羣臣於太極東堂，與侍中荀顗、尚書崔贊、袁亮、鍾毓、給事中中書令虞松等並講述禮典，遂言帝王優劣之差。,-{干}-寶《晉紀》曰：武帝使侍中荀顗、和嶠倶至東宮，觀察太子。,改  荀顗、和嶠,,
董賢年,2,漢書,後侍中董賢年二十二為大司馬，居上公之位，天下不宗。,,改  董贤,断句有误,
董賢愛,2,漢書,是時侍中董賢愛幸，上欲侯之，遂下詔云：「躬、寵因賢以聞，封賢為高安侯，寵為方陽侯，躬為宜陵侯，食邑各千戶。,是時，侍中董賢愛幸於上，上欲侯之而未有所緣，傅嘉勸上因東平事以封賢。,改  董贤,,
董贤爱,2,漢書,是时，侍中董贤爱幸于上，上欲侯之而未有所缘，傅嘉劝上因东平事以封贤。,是时，侍中董贤爱幸，上欲侯之，遂下诏云：“躬、宠因贤以闻，封贤为高安侯，宠为方阳侯，躬为宜陵侯，食邑各千户。,改  董贤,,
袁隗表,2,後漢書,后将军袁隗表为侍中，以父丧不行。,後將軍袁隗表為侍中，以父喪不行。,改  袁隗,断句有误,
许允,2,三國志,侍中许允、尚书陈泰说爽，使早自归罪。,侍中許允、尚書陳泰說爽，使早自歸罪。,留,,
诸葛瞻,2,三國志,侍中诸葛瞻，丞相亮之子，恪从弟也，嶷与书曰：“东主初崩，帝实幼弱，太傅受寄讬之重，亦何容易！,侍中諸葛瞻，丞相亮之子，恪從弟也。,留,,
谢惲,2,後漢書,辛卯，大将军耿宝、中常侍樊丰、侍中谢惲、周广、乳母野王君王圣，坐相阿党，丰、惲、广下狱死，宝自杀，圣徙雁门。,辛卯，大將軍耿寶、中常侍樊豐、侍中謝惲、周廣、乳母野王君王聖，坐相阿黨，豐、惲、廣下獄死，寶自殺，聖徙鴈門。,改 谢惲、周广,这一句里两人都是侍中,
贾建,2,後漢書,皇女利，元年封临颍公主，适即墨侯侍中贾建。,）適即墨侯侍中賈建。,留,,
贾逵摘,2,後漢書,往者侍中贾逵摘谶互异三十余事，诸言谶者皆不能说。,往者侍中賈逵摘讖互異三十餘事，諸言讖者皆不能說。,改 贾逵,,
邓蕃,2,後漢書,皇女小姬，十二年封平皋公主，适昌安侯侍中邓蕃。,）適昌安侯侍中鄧蕃。,留,,
郑小同,2,三國志,九月庚子，讲尚书业终，赐执经亲授者司空郑冲、侍中郑小同等各有差。,九月庚子，講尚書業終，賜執經親授者司空鄭冲、侍中鄭小同等各有差。,留,,
郭举,2,後漢書,三二三四頁一０行　憲女弟婿郭舉為侍中射聲校尉　按：竇憲傳作「憲女婿」，通鑑同，此云「憲女弟婿」，未詳孰是。,章帝元和中，侍中郭舉與後宮通，拔佩刀驚上，舉伏誅，侍中由是復出外。,留,,
郭攸之,2,三國志,上疏曰：“侍中郭攸之、费祎、侍郎董允等，先帝简拔以遗陛下，至於斟酌规益，进尽忠言，则其任也。,上疏曰：「侍中郭攸之、費禕、侍郎董允等，先帝簡拔以遺陛下，至於斟酌規益，進盡忠言，則其任也。,改  郭攸之、费祎,,
金敞拾,2,漢書,元帝初即位，太傅萧望之为前将军，少傅周堪为诸吏光禄大夫，皆领尚书事，甚见尊任，更生年少于望之、堪，然二人重之，荐更生宗室忠直，明经有行，擢为散骑、宗正给事中，与侍中金敞拾遗于左右。,更生年少於望之、堪，然二人重之，薦更生宗室忠直，明經有行，擢為散騎宗正給事中，與侍中金敞拾遺於左右。,改  金敞,断句有误,
金涉,2,漢書,久之，叔父成都侯商上书，愿分户邑以封莽，及长乐少府戴崇、侍中金涉、胡骑校尉箕闳、上谷都尉阳并、中郎陈汤，皆当世名士，咸为莽言，上由是贤莽。,久之，叔父成都侯商上書，願分戶邑以封莽，及長樂少府戴崇、侍中金涉、胡騎校尉箕閎、上谷都尉陽並、中郎陳湯，皆當世名士，咸為莽言，上由是賢莽。,留,,
韓說,2,全後漢文|後漢書,侍中韓說、博士蔡較、穀城門??劉洪、右郎中陳調于太常府，覆校注說，平議難問，恂、誠各對。,」太常就耽上選侍中韓說、博士蔡較、谷城門候劉洪、右郎中陳調於太常府，覆校注記，平議難問。,留,,
马良,2,三國志,二月，先主自秭归率诸将进军，缘山截岭，於夷道猇亭驻营，自佷山通武陵，遣侍中马良安慰五谿蛮夷，咸相率响应。,）通武陵，遣侍中馬良安慰五谿蠻夷，咸相率響應。,留,,
于長,1,漢書,太后姊子淳于長為侍中，數往來傳語，得太后指，上立封趙婕妤父臨為成陽侯。,,改 淳于长,,
于长,1,漢書,太后姊子淳于长为侍中，数往来传语，得太后指，上立封赵婕妤父临为成阳侯。,,改 淳于长,,
任并,1,漢書,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,,删,此处非实指到人，只是说九男中有人任了侍中,
任芝樂,1,後漢紀,止侍中任芝樂松等曰昔宣王囿五十里民以爲大?,,改 任芝、乐松,此处侍中有两人,
侯亦,1,東觀漢記,馮石(案石魴子/柱次子)襲母公主封獲嘉侯亦為侍中稍遷衛?,,改 冯石,断句有误,
侯王鳳,1,漢書,|陽平侯王鳳為侍中衞尉，三年遷。,,改 王凤,断句有误,
侯金赏,1,漢書,|秺侯金賞為侍中太僕，七年遷。,,改 金赏,断句有误,
傅嘉数,1,漢書,文学、光禄大夫夏侯胜等及侍中傅嘉数进谏以过失，使人簿责胜，缚嘉系狱。,,改 傅嘉,断句有误,
傅嘉數,1,全漢文,文學光祿大夫夏矦勝等及侍中傅嘉數進諫?過失，使人簿責勝，縛嘉繫獄。,,改 傅嘉,断句有误,
傅巽目,1,三國志,侍中傅巽目之，乃悟。,,改 傅巽,断句有误,
元帝时,1,後漢書,曾祖霸，元帝时为侍中。,,改 孔霸,理解有误，元帝指的是汉元帝,
元帝時,1,後漢書,曾祖霸，元帝時為侍中。,,改 孔霸,理解有误，元帝指的是汉元帝,
公孙敬聲,1,漢書,|侍中公孫敬聲為太僕，十二年下獄死。,,留,,
刘和,1,後漢紀,歸使侍中劉和出關詣其父太傅劉虞令將兵來迎?,,留,,
刘岱爲,1,後漢紀,以尚書韓馥爲兾州侍中劉岱爲兖州陳留孔胄爲?,,改 刘岱,断句有误,
刘恭歩,1,後漢紀,王劉祉尚書任延君侍中劉恭歩將更始至髙陵嚴?,,改 刘恭,断句有误,
刘文前,1,後漢紀,非也左右皆將?欲交侍中劉文前曰是天子也使?,,无法判断,,
刘曄先,1,三國志,臣言誠不足採，侍中劉曄先帝謀臣，常曰蜀不可伐。,,改 刘晔,断句有误,
刘淑刘,1,後漢紀,僕杜密尚書荀緄朱?魏朗侍中劉淑劉瑜左中郎?,,改 刘淑、刘瑜,断句有误，二人都是侍中,
刘熊卿,1,後漢紀,未行其計侍中劉熊卿知其謀告之更始召申屠建?,,改 刘能卿,存在异文,
刘瑜内,1,後漢紀,長樂食監王甫等使侍中劉瑜内其奏謀頗泄漏節?,,改 刘瑜,断句有误,
刘瑜素,1,後漢紀,?侍中劉瑜素善天文與蕃書曰星辰錯亂不利大?,,改 刘瑜,断句有误,
刘艾取,1,後漢書,帝疑賦卹有虛，乃親於御坐前量試作糜，乃知非實，（注：袁宏《紀》曰：「時勑侍中劉艾取米豆五升於御前作糜，得滿三盂，於是詔《尚書》曰：『米豆五升，得糜三盂，而人委頓，何也？,,改 刘艾,断句有误,
刘艾尚,1,後漢紀,也必有異心於是太尉楊彪司徒趙温侍中劉艾尚?,,改 刘艾,断句有误,
刘艾見,1,後漢紀,爲亂脅乘輿西行侍中劉艾見火起不止曰可出幸?,,改 刘艾,断句有误,
卫尉关,1,後漢書,永平元年诏曰：“故侍中卫尉关内侯兴，典领禁兵，从平天下，当以军功显受封爵，又诸舅比例，应蒙恩泽，兴皆固让，安乎里巷。,,改 阴兴,理解有误,
卫尉始,1,前漢紀,成也以永光二年禁薨子奉嗣侯爲侍中衛尉始見?,,改 王凤,理解有误,
卫尉王,1,前漢紀,玄成爲御史大夫九月戊子侍中衛尉王接爲大司?,,改 王接,断句有误,
卫尉長,1,漢書,歲餘，趙皇后得立，上甚德之，乃追顯長前功，下詔曰：「前將作大匠解萬年奏請營作昌陵，罷弊海內，侍中衛尉長數白宜止徙家反故處，朕以長言下公卿，議者皆合長計。,,改 淳于长,理解有误,
卫尉關,1,後漢書,【永平元年】詔曰：『故侍中衛尉關內侯興，典領禁兵，從平天下，當以軍功顯受封爵，又諸舅比例，應蒙恩澤，興皆固讓，安乎裏巷。,,改 阴兴,理解有误,
卫尉阳,1,漢書,以元舅侍中卫尉阳平侯王凤为大司马大将军，领尚书事。,,改 王凤,理解有误,
史丹护,1,漢書,赖侍中史丹护太子家，辅助有力，上亦以先帝尤爱太子，故得无废。,,改 史丹,断句有误,
史丹拥,1,漢書,时凤在位，与皇后、太子同心忧惧，刺侍中史丹拥右太子，语在《丹传》。,,改 史丹,断句有误,
史丹擁,1,漢書,時鳳在位，與皇-{后}-、太子同心憂懼，刺侍中史丹擁右太子，語在《丹傳》。,,改 史丹,断句有误,
史丹護,1,漢書,賴侍中史丹護太子家，輔助有力，上亦以先帝尤愛太子，故得無廢。,,改 史丹,断句有误,
史恃太,1,後漢紀,千級詔使侍中史恃太?韓融告張濟曰朕惟宗廟?,,改 史恃,断句有误,
周成王,1,全後漢文,侍中，周成王常伯任侍中，殿下稱制，出卽陪乘，佩璽抱劒。,,错误,这一句是说侍中的官职起源，没有提到具体的任侍中的人,
周珌,1,後漢書,時侍中周珌、城門校尉伍瓊為卓所信待，瓊等陰為紹說卓曰：「夫廢立大事，非常人所及。,,改 周毖,史书中“周珌”与“周毖”互见,
张孟諫,1,後漢紀,樂甘於啖?遂拂衣而出侍中張孟諫曰聞足下面?,,存疑,这句本身似乎有异文,
张衡,1,後漢紀,餘級叛者乞降是時朝政多僻競崇侈靡侍中張衡?,,留,,
张辟強,1,前漢紀,淚不下侍中張辟強者張良子年十五餘謂陳平曰?,,改 张辟彊,,
张辟强,1,漢書,留侯子张辟强为侍中，年十五，谓丞相陈平曰：“太后独有帝，今哭而不悲，君知其解未？,,改 张辟彊,,
徐博賦,1,漢書,孫卿賦十篇，秦時雜賦九篇，李思孝景皇帝頌十五篇，廣川惠王越賦五篇，長沙王群臣賦三篇，魏內史賦二篇，東暆令延年賦七篇，衛士令李忠賦二篇，張偃賦二篇，賈充賦四篇，張仁賦六篇，秦充賦二篇，李步昌賦二篇，侍郎謝多賦十篇，平陽公主舍人周長孺賦二篇，雒陽錡華賦九篇，眭弘賦一篇，別栩陽賦五篇，臣昌市賦六篇，臣義賦二篇，黃門書者假史王,,存疑,此句存疑，无侍中相关,
徐博赋,1,漢書,侍中徐博赋四篇。,,改 徐博,断句有误,
李仁曰,1,三國志,（注：吳平後，晉侍中庾峻等問皓侍中李仁曰：「聞吳主披人面，刖人足，有諸乎？,,改 李仁,断句有误,
李祯,1,三國志,侍中李禎，傕州里，素與傕通，語傕「所以持刀者，軍中不可不爾，此國家故事」。,,留,,
李陵俱,1,漢書,初，武与李陵俱为侍中，武使匈奴明年，陵降，不敢求武。,,改 苏武、李陵,理解有误,
杨琦黄,1,後漢紀,兗州六月侍中楊琦黄門侍郎丁沖鍾繇尚書左丞?,,改 杨琦,断句有误,
桓帝时,1,後漢書,荣少知名，桓帝时为侍中。,,改 寇荣,理解有误,
桓帝時,1,後漢書,榮少知名，桓帝時為侍中。,,改 寇荣,理解有误,
江夏太,1,三國志,齐伯父纯，儒学有重名，汉安帝时为侍中、江夏太守，去官，与江夏黄琼、〔广汉〕杨厚俱公车徵。,,改 贺纯,理解有误,
灌禄大,1,三國志,帝遂以宣爲左仆射，後加侍中灌禄大夫。,,改 徐宣,理解有误,
王旷,1,三國志,晉元帝爲安東將軍，郃爲長史，侍中王曠與司馬越書曰：「裴郃在此，雖不治事，然識量弘淹，此下人士大敬附之。,,留,,
王望传,1,漢書,中黄门各拔刃将忠等送庐，忠拔剑欲自刎，侍中王望传言大司马反，黄门持剑共格杀之。,,改 王望,断句有误,
王望傳,1,漢書,中黃門各拔刃將忠等送廬，忠拔劍欲自刎，侍中王望傳言大司馬反，黃門持劍共格殺之。,,改 王望,断句有误,
王粲作,1,三國志,（注：是行也，侍中王粲作五言詩以美其事，曰：「從軍有苦樂，但問所從誰。,,改 王粲,断句有误,
王粲識,1,三國志,魏侍中王粲識舊珮，始復作之。,,改 王粲,断句有误,
王能,1,漢書,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,,留,,
王辅,1,後漢書,深恐在所慢违'如在'之义，今遣侍中王辅等，持节分诣岱山、东海、荥阳、河、洛，尽心祈焉。,,留,,
王逸碑,1,隸釋,漢侍中王逸碑(南三里在宜城縣)?,,留,,
王閎,1,全漢文,{{*|荀悅《漢紀》二十九︰「【元壽元年】，侍中王閎上書諫，不從。,,留 王闳,,
王音私,1,前漢紀,時鳳弟侍中王音私聽之告鳳鳳懼稱病就第乃上?,,改 王音,断句有误,
